type,k,id,label,members,strategy,n_seeds,val_auc_m,val_auc_s,val_acc_m,val_acc_s,test_auc_m,test_auc_s,test_acc_m,test_acc_s,test_f1_m,test_f1_s,test_d_auc_m,test_d_auc_s,test_d_acc_m,test_d_acc_s,test_d_f1_m,test_d_f1_s,delta_auc_m,delta_auc_s,df40_auc_m,df40_auc_s
multi_model,3,clip_dino_mobilenet,CLIP + DINO + MobileNet,clip + dino + mobilenet,stacking,5,0.9960586497608064,0.0005030923016763268,0.9760876203660349,0.0014263879843332409,0.9312899514917088,0.002947481997760635,0.847029079896893,0.008866321722712607,0.8532722005091127,0.009903963313969812,0.8582876804943698,0.008269115147714955,0.7643313712234882,0.011505282673450962,0.7671336002581952,0.012371780339422517,-0.07300227099733905,0.006857528371983654,0.8145943260557106,0.016653071848826195
multi_model,3,clip_dino_mobilenet,CLIP + DINO + MobileNet,clip + dino + mobilenet,geometric,5,0.9954169511795585,0.0006826459131070595,0.9707389236104043,0.003094968709006461,0.9352440622005632,0.00454412344983838,0.8471280098050531,0.005264693810805063,0.8538671454972248,0.004850634758470504,0.8716841832713685,0.010036663035788304,0.7753180871352647,0.008746068348863632,0.7807801024181978,0.007532291233469906,-0.06355987892919483,0.007034401120488763,0.8136285887403607,0.016482810479224983
multi_model,3,clip_dino_mobilenet,CLIP + DINO + MobileNet,clip + dino + mobilenet,mean,5,0.9945929463875333,0.0007204692739764944,0.9694577336237726,0.0018464893357166973,0.9235319484898765,0.0030275065025170537,0.8506246324479105,0.004305750261916867,0.8601303162829754,0.004765689574114624,0.8490365898308777,0.007826418772672641,0.7718082738379857,0.008359551403090103,0.7837498207899826,0.008363762733508076,-0.07449535865899867,0.006254477671611335,0.8065488516606851,0.013945385473247564
multi_model,3,clip_dino_mobilenet,CLIP + DINO + MobileNet,clip + dino + mobilenet,max,5,0.9920161428766676,0.0015672118217881787,0.9647102732707667,0.006822223856573258,0.9140217113344093,0.005800499154890869,0.8318972008332098,0.0064648732792053805,0.8402630479666777,0.007427169877472688,0.8347246683174039,0.011030611669032343,0.747594629205208,0.006158151458802157,0.7530476184338253,0.008868502439612708,-0.07929704301700555,0.007561802425300344,0.7768822188058891,0.013579971987183045
multi_model,3,clip_dino_xception,CLIP + DINO + Xception,clip + dino + xception,stacking,5,0.9957432570081794,0.0005133693833019623,0.9763970603204332,0.0014067042944485024,0.9278814849817811,0.0038703940333051057,0.8465025529412411,0.006611787659772459,0.8527227918827087,0.0077910173101105986,0.8557529927372107,0.010715080641397295,0.7631079380259086,0.010576626920450869,0.7650640955671214,0.011087363271099326,-0.07212849224457055,0.00742641478411987,0.8172014295489651,0.01772846144590591
multi_model,3,clip_dino_xception,CLIP + DINO + Xception,clip + dino + xception,geometric,5,0.9951795946381988,0.0008075705418425761,0.9717717473178478,0.003505853178318857,0.9361389307855303,0.005682211152434365,0.8545070817325925,0.005405212789637736,0.8625590146778537,0.004817900027836584,0.872320014486067,0.01137903084745713,0.7813220333393791,0.009346406139741997,0.7890983380689076,0.007535277406409535,-0.0638189162994633,0.007735941425463207,0.8107782480524085,0.015903681355212473
multi_model,3,clip_dino_xception,CLIP + DINO + Xception,clip + dino + xception,mean,5,0.9932622106905455,0.0007907817260739146,0.9673038686780263,0.0008645967833056903,0.9146358390863799,0.0041143708700119375,0.8498639713762799,0.0035300094518406085,0.8603569862202901,0.004197431755069488,0.8403499658850793,0.009762215781506402,0.7711894123013845,0.009005716948182595,0.7841299841477877,0.007971491675322578,-0.07428587320130065,0.006287268928259509,0.8052468863709296,0.0129378181435888
multi_model,3,clip_dino_xception,CLIP + DINO + Xception,clip + dino + xception,max,5,0.9918138525746707,0.0014014688380866358,0.9670161438081472,0.005046801702986195,0.9038223996604511,0.006222972911459967,0.8244851522696169,0.008593356927391993,0.8313479525287878,0.010515218076659403,0.8216541240078463,0.009243900940609074,0.737757698670492,0.0077266937470727645,0.7413817818843798,0.012159166173303985,-0.0821682756526049,0.005969761337347324,0.7935768087406322,0.00902152607102097
multi_model,4,clip_dino_resnet_vit,CLIP + DINO + ResNet + ViT,clip + dino + resnet + vit,stacking,5,0.9963257401362415,0.00039777562558049215,0.9764432048750364,0.001435569021669933,0.9331016163203263,0.003120990997846256,0.8412383826059238,0.0034128680873736195,0.8465984482144296,0.0026579040247947587,0.8622312163515188,0.007718981910699262,0.7585681544625633,0.005815870203376226,0.7591783051898787,0.004046082383771558,-0.07087039996880762,0.0064526361563820665,0.8068289109261579,0.01506912506093116
multi_model,4,clip_dino_resnet_vit,CLIP + DINO + ResNet + ViT,clip + dino + resnet + vit,geometric,5,0.9948420926891502,0.0006868545571700121,0.9681303990825377,0.0028252380976011506,0.9285943230612762,0.005132795387610663,0.8329623461777331,0.0053041665923847,0.8391824600030249,0.005372511068535704,0.8652513512119435,0.008809935698011638,0.7641478012827911,0.006891959807841646,0.7694301242543224,0.007225324680919525,-0.06334297184933269,0.005138599232999447,0.7965815775811743,0.01213408670061131
multi_model,4,clip_dino_resnet_vit,CLIP + DINO + ResNet + ViT,clip + dino + resnet + vit,mean,5,0.9948929747336578,0.00048116849388624725,0.9685809870863107,0.00217975259290947,0.9223501037716432,0.0025522697158217008,0.8217085195139244,0.003837096087428932,0.8265466794050716,0.004748057308704931,0.8514424516701338,0.005591659233766992,0.7435461975190578,0.0032455541430504347,0.7436163679435104,0.007249292542260674,-0.07090765210150943,0.004831428005097028,0.7871967951423373,0.01077873666243343
multi_model,4,clip_dino_resnet_vit,CLIP + DINO + ResNet + ViT,clip + dino + resnet + vit,max,5,0.993363871228589,0.0008403388225463422,0.9664067642488277,0.004198470991697696,0.9159519515439751,0.004137629223648352,0.8274057830027426,0.005655288778143654,0.8351793001292162,0.0076808437897688845,0.837951449915096,0.007397808409039906,0.740855304017104,0.005982211079141383,0.7441900723110801,0.009738474157600728,-0.07800050162887913,0.006241216029975983,0.7540344249100348,0.013564449797590543
multi_model,4,clip_dino_resnet_mobilenet,CLIP + DINO + ResNet + MobileNet,clip + dino + resnet + mobilenet,stacking,5,0.9963044307996547,0.00045307816043919474,0.9765979248522356,0.0014939342321423823,0.9321309255252516,0.002696403916872712,0.8439457644259042,0.003572108681286647,0.8498528620775575,0.0038280430563716454,0.8591011384077584,0.007255379356181051,0.7610765772450219,0.004969071965698218,0.7632949539423113,0.0028625690470296013,-0.0730297871174932,0.0064793348409252285,0.8070763721639725,0.014696982208106819
multi_model,4,clip_dino_resnet_mobilenet,CLIP + DINO + ResNet + MobileNet,clip + dino + resnet + mobilenet,geometric,5,0.9950311218139609,0.0007560509011174041,0.9687804944253307,0.0032461018524115666,0.9301167630665022,0.004382634506101983,0.8383001643335696,0.00605442092232582,0.845307278597773,0.00626185662667492,0.8634783070326412,0.009144970442458876,0.7665419050602649,0.007521845267416909,0.7754065837608538,0.008088252023688913,-0.0666384560338609,0.006405744172185418,0.796757737752203,0.013263803371243452
multi_model,4,clip_dino_resnet_mobilenet,CLIP + DINO + ResNet + MobileNet,clip + dino + resnet + mobilenet,mean,5,0.9948027808216244,0.000650963749931468,0.9687506361841167,0.0026789478064093357,0.9208889283677733,0.0024425272178591785,0.8261647622659346,0.002505089305883746,0.8321187686122672,0.003044006195786373,0.8428294228932938,0.006110574513630041,0.7438407888011345,0.002839771014478979,0.7491467423165976,0.005357956826367448,-0.07805950547447955,0.005530524056792672,0.7878285271500372,0.010802248091529736
multi_model,4,clip_dino_resnet_mobilenet,CLIP + DINO + ResNet + MobileNet,clip + dino + resnet + mobilenet,max,5,0.9924706699428152,0.0012049526248763605,0.9636964502622776,0.005104796098213341,0.9110927990344987,0.004076542957559294,0.8271628551171496,0.005574362219787745,0.8365254458022428,0.007449406752479662,0.8296304737279186,0.008660430156850397,0.7410300801881867,0.005142539603527765,0.7476493909233404,0.011025151667647278,-0.08146232530658015,0.0070972683497545555,0.7426719116395265,0.008173837556552778
multi_model,4,clip_dino_vit_xception,CLIP + DINO + ViT + Xception,clip + dino + vit + xception,stacking,5,0.9959099840031446,0.00046178752528812334,0.9762857705122723,0.0015832949573750586,0.9284319951863347,0.0039238599434224305,0.8449823300191813,0.004838729092144802,0.8509579714722152,0.005176227489651383,0.858399989441524,0.010649997713807077,0.7614711976564604,0.008571818802920557,0.7628082168379274,0.007064396406892626,-0.0700320057448108,0.0072364723141262206,0.814537581340898,0.016921629199181953
multi_model,4,clip_dino_vit_xception,CLIP + DINO + ViT + Xception,clip + dino + vit + xception,geometric,5,0.9943076273025241,0.0007670199670903415,0.9664705523096029,0.003072689405060991,0.9292258631352555,0.005638502018047637,0.840641505493358,0.00561713918909011,0.8480541443578928,0.005870411103274837,0.8676690436052599,0.010189182115516233,0.771529071652734,0.010153631995381971,0.7778324208133591,0.010678093464935978,-0.06155681952999548,0.0057548932938766666,0.8069407081351198,0.013512698429025107
multi_model,4,clip_dino_vit_xception,CLIP + DINO + ViT + Xception,clip + dino + vit + xception,mean,5,0.9926897541378651,0.0006846870142192907,0.9613797221826375,0.0011695053135849093,0.9114335077902828,0.0037186054255318214,0.8279169208615695,0.002787563525942822,0.8365675060080185,0.0037831955644091536,0.8406290889480215,0.008407524380023441,0.7524839651107191,0.006222621708449717,0.7597227382557854,0.005905694169589817,-0.07080441884226141,0.004820645881258598,0.7979077644063056,0.011879063269123823
