model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
resnet,none,scratch,celeb_df_frame,0.5382127854887273,0.008583028599156621,0.4283912483912483,0.015812998875881085,0.3262135252083902,0.04444285812503025,0.7186065545000906,0.011145843027064615,0.21215686274509798,0.03734431993555968,0.8414232209737827,0.02732619792462449,0.0,0.0
resnet,phase,finetune,celeb_df_frame,0.5697578908717045,0.0035646708955172197,0.5947747747747748,0.013155961085205906,0.6912414777928345,0.022072104485291504,0.6909608144495729,0.008010610758767358,0.6933725490196079,0.049946992278592846,0.4064419475655431,0.060452617230267174,0.0,0.0
resnet,phase,scratch,celeb_df_frame,0.5588518396122494,0.007238481859435429,0.631949806949807,0.012364760628372766,0.7527421604063291,0.01477184025165182,0.6729312708450054,0.0035890337684193877,0.8549019607843137,0.0399483839727285,0.20608614232209735,0.043719674003069885,0.0,0.0
resnet,srm,finetune_robust,celeb_df_frame,0.6232274730116766,,0.6581724581724582,,0.7628994822353151,,0.7002622091117666,,0.837843137254902,,0.3149812734082397,,0.0,
vit,complex,finetune,celeb_df_frame,0.5001388117793933,0.012857566433290082,0.6563706563706564,0.0,0.7925407925407926,0.0,0.6563706563706564,0.0,1.0,0.0,0.0,0.0,0.0,0.0
vit,concat,finetune,celeb_df_frame,0.5488548064918851,0.01505772704243905,0.6554954954954955,0.009745328075326373,0.7797809145111512,0.009015353346998827,0.6715974486022475,0.002814310905002368,0.9297647058823528,0.02341286495263385,0.13161048689138571,0.021311486730819354,0.0,0.0
vit,concat_frequency,finetune,celeb_df_frame,0.4893320261437909,0.0033298326312717567,0.3389189189189189,0.001399817290211455,0.5001425801969752,0.0017014180661953713,0.33785412802556136,0.0008829092162064419,0.9624719101123596,0.00595376048844475,0.01247058823529408,0.0035364852864770363,2.0010106823972014,0.24936592079350528
vit,frequency_3,finetune,celeb_df_frame,0.545604163912756,0.015867921415079287,0.6286229086229087,0.012658689768364354,0.7635576674001749,0.011595074623310818,0.6556353055223891,0.0030290479170180943,0.9143137254901961,0.028100508901766436,0.08292134831460671,0.018274697446564063,0.0,0.0
vit,magnitude,finetune,celeb_df_frame,0.5321155687743262,0.0177327562962151,0.6287773487773488,0.015670423238734906,0.7607178863091104,0.01538997596960381,0.6589013512068765,0.002901870032288739,0.9004313725490196,0.03953045244506236,0.10988764044943818,0.03150589758398174,0.0,0.0
vit,none,finetune,celeb_df_frame,0.6482640265844165,0.03660606387086973,0.6548262548262548,0.017321717761801567,0.7509724801714887,0.023711078634478397,0.7130150594179429,0.01929568661935974,0.7971895424836601,0.06693069592614066,0.382896379525593,0.09603179331420696,0.0,0.0
vit,none,finetune_robust,celeb_df_frame,0.6270223311546841,0.013750295879735825,0.651951951951952,0.012814207626680231,0.7530312629899808,0.011749043524948228,0.7045326265735828,0.005032630925132794,0.8088888888888889,0.02212844496074861,0.3521847690387016,0.012949633410487485,0.0,0.0
vit,phase,finetune,celeb_df_frame,0.5264288830138797,0.009318457876042501,0.6550836550836551,0.0030442409710462835,0.791200406645418,0.0029170828516487685,0.6564102103908694,0.0002711977086625672,0.995686274509804,0.008692933312808189,0.00449438202247188,0.007815968821988461,0.0,0.0
